airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
JUNEYAO AIRLINES,중국길상항공(준야오항공),제주,CJU,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,HO1378,Y,2018-12-01T00:00:00+09:00,Y,Y,2235,Y,Y
CAPITAL AIRLINEC,북경수도항공,제주,CJU,청도/칭다오,TAO,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,JD352,Y,2018-12-25T00:00:00+09:00,N,N,2240,Y,N
JEJU AIR,제주항공,제주,CJU,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,7C2185,N,2018-12-14T00:00:00+09:00,Y,N,2240,N,Y
JEJU AIR,제주항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,7C2677,Y,2018-12-22T00:00:00+09:00,Y,Y,2240,N,Y
JEJU AIR,제주항공,제주,CJU,홍콩,HKG,여객기,2019-01-23T00:00:00+09:00,Y,OUT,N,7C2185,N,2018-12-14T00:00:00+09:00,Y,N,2240,N,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,TW663,Y,2018-10-28T00:00:00+09:00,Y,Y,2240,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,9C8568,Y,2018-10-28T00:00:00+09:00,Y,Y,2245,Y,Y
EASTAR JET,이스타항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,ZE781,N,2018-10-28T00:00:00+09:00,Y,Y,2250,N,N
PHILIPPINE AIRLINES,필리핀항공,제주,CJU,마닐라,MNL,여객기,2019-01-02T00:00:00+09:00,N,OUT,N,PR499,Y,2018-12-22T00:00:00+09:00,N,N,2250,N,Y
AIR BUSAN,에어부산,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,BX791,Y,2018-10-28T00:00:00+09:00,Y,Y,2255,Y,Y
